orig_hname,new_hname,hclass,horder,hfamily,genus,spp,subspp
Acanthurus nigrofuscus,Acanthurus nigrofuscus,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,nigrofuscus,NA
Acanthurus sohal,Acanthurus sohal,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,sohal,NA
Acanthurus tennentii,Acanthurus tennentii,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,tennentii,NA
Acanthurus triostegus,Acanthurus triostegus,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,triostegus,NA
Acanthurus xanthopterus,Acanthurus xanthopterus,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,xanthopterus,NA
Acanthyocymbium solandri,Acanthocybium solandri,Actinopterygii,Perciformes,Scombridae,Acanthocybium,solandri,NA
Acentrogobius griseus,Acentrogobius griseus,Actinopterygii,Perciformes,Gobiidae,Acentrogobius,griseus,NA
Acentrogobius janthinopterus,Acentrogobius janthinopterus,Actinopterygii,Perciformes,Gobiidae,Acentrogobius,janthinopterus,NA
Acentrogobius viridipunctatus,Acentrogobius viridipunctatus,Actinopterygii,Perciformes,Gobiidae,Acentrogobius,viridipunctatus,NA
Acerina cernua,Gymnocephalus cernua,Actinopterygii,Perciformes,Percidae,Gymnocephalus,cernua,NA
Acestrorhynchus altus,Acestrorhynchus altus,Actinopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus,altus,NA
Acestrorhynchus falcatus,Acestrorhynchus falcatus,Actinopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus,falcatus,NA
Acestrorhynchus falcirostris,Acestrorhynchus falcirostris,Actinopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus,falcirostris,NA
Acestrorhynchus lacustris,Acestrorhynchus lacustris,Actinopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus,lacustris,NA
Acheilognathus asmussii,Acheilognathus asmussii,Actinopterygii,Cypriniformes,Cyprinidae,Acheilognathus,asmussii,NA
Acheilognathus koreensis,Tanakia koreensis,Actinopterygii,Perciformes,Pseudochromidae,Tanakia,koreensis,NA
Acheilognathus omeiensis,Acheilognathus omeiensis,Actinopterygii,Cypriniformes,Cyprinidae,Acheilognathus,omeiensis,NA
Acheilognathus tabira,Acheilognathus tabira,Actinopterygii,Cypriniformes,Cyprinidae,Acheilognathus,tabira,NA
Acheilognathus yamatsutae,Acheilognathus yamatsutae,Actinopterygii,Cypriniformes,Cyprinidae,Acheilognathus,yamatsutae,NA
Achirus mazatlanus,Achirus mazatlanus,Actinopterygii,Pleuronectiformes,Achiridae,Achirus,mazatlanus,NA
Achondrostoma arcasii,Achondrostoma arcasii,Actinopterygii,Cypriniformes,Cyprinidae,Achondrostoma,arcasii,NA
Acipenser baerii,Acipenser baerii,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,baerii,NA
Acipenser brevirostrum,Acipenser brevirostrum,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,brevirostrum,NA
Acipenser dabryanus,Acipenser dabryanus,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,dabryanus,NA
Acipenser fulvescens,Acipenser fulvescens,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,fulvescens,NA
Acipenser gueldenstaedtii,Acipenser gueldenstaedtii,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,gueldenstaedtii,NA
Acipenser naccarii,Acipenser naccarii,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,naccarii,NA
Acipenser nudiventris,Acipenser nudiventris,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,nudiventris,NA
Acipenser oxyrinchus,Acipenser oxyrinchus,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,oxyrinchus,NA
Acipenser persicus,Acipenser persicus,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,persicus,NA
