old_pname	new_pname
Acanthobothrium vargasi	Acanthobothrium vargasi
Acanthobothrium walkeri	Acanthobothrium walkeri
Acanthobothrium wedli	Acanthobothrium wedli
Acanthobothrium zanili	Acanthobothrium zainali
Acanthobothrium zapterycum	Acanthobothrium zapterycum
Acanthobothrium zschokkei	Acanthobothrium zschokkei
Acanthobothrium zugeinensis	Acanthobothrium zugeinensis
Acanthobothroides pacificus	Acanthobothroides pacificus
Acanthobothroides thorsoni	Acanthobothroides thorsoni
Acanthocephaloides claviformis	Acanthocephaloides claviformis
Acanthocephaloides cyrusi	Acanthocephaloides cyrusi
Acanthocephaloides distinctus	Acanthocephaloides distinctus
Acanthocephaloides geneticus	Acanthocephaloides geneticus
Acanthocephaloides ichiharai	Acanthocephaloides ichiharai
Acanthocephaloides incrassatus	Acanthocephaloides incrassatus
Acanthocephaloides kostylewi	Acanthocephaloides kostylewi
Acanthocephaloides propinquus	Acanthocephaloides propinquus
Acanthocephaloides rhytidotes	Acanthocephaloides rhytidotes
Acanthocephalorhynchoides cholodkowskyi	Acanthocephalorhynchoides cholodkowskyi
Acanthocephalorhynchoides ussuriensis	Acanthocephalorhynchoides ussuriensis
Acanthocephalus acerbus	Acanthocephalus acerbus
Acanthocephalus aculeatus	Acanthocephalus aculeatus
Acanthocephalus alabamensis	Acanthocephalus alabamensis
Acanthocephalus anguillae	Acanthocephalus anguillae
Acanthocephalus clavula	Acanthocephalus clavula
Acanthocephalus dirus	Acanthocephalus dirus
Acanthocephalus echigoensis	Acanthocephalus echigoensis
Acanthocephalus goaensis	Acanthocephalus goaensis
Acanthocephalus gotoi	Acanthocephalus gotoi
Acanthocephalus gracilacanthus	Acanthocephalus gracilacanthus
Acanthocephalus incrassatus	Acanthocephalus incrassatus
Acanthocephalus kashmirensis	Acanthocephalus kashmirensis
Acanthocephalus lucidus	Acanthocephalus lucidus
Acanthocephalus lucii	Acanthocephalus lucii
Acanthocephalus minor	Acanthocephalus minor
Acanthocephalus oncorhynchi	Acanthocephalus oncorhynchi
Acanthocephalus opsariichthydis	Acanthocephalus opsariichthydis
Acanthocephalus rauschi	Acanthocephalus rauschi
Acanthocephalus rhinensis	Acanthocephalus rhinensis
Acanthocephalus sichuanensis	Acanthocephalus sichuanensis
Acanthocephalus tahlequahensis	Acanthocephalus tahlequahensis
Acanthocephalus tenuirostris	Acanthocephalus tenuirostris
Acanthocephalus tumescens	Acanthocephalus tumescens
Acanthochasmus imbutiformis	Acanthochasmus imbutiformis
Acanthochasmus inerme	Acanthochasmus inerme
Acanthochasmus praeteritus	Timoniella praeterita
Acanthocheilus bicuspis	Acanthocheilus bicuspis
Acanthocheilus quadridentatus	Acanthocheilus quadridentatus
Acanthocheilus rotundatus	Acanthocheilus rotundatus
Acanthocollaritrema umbilicatum	Acanthocollaritrema umbilicatum
Acanthocolpoides guevarai	Acanthocolpoides guevarai
Acanthocolpoides walteri	Acanthocolpoides walteri
Acanthocolpus acanthocepolae	Acanthocolpus acanthocepolae
Acanthocolpus aegyptiacus	Acanthocolpus aegyptiacus
Acanthocolpus brasiliensis	Acanthocolpus brasiliensis
Acanthocolpus chorinemusi	Acanthocolpus chorinemusi
Acanthocolpus equulai	Acanthocolpus equulai
Acanthocolpus indicus	Acanthocolpus indicus
Acanthocolpus lutijanusi	Acanthocolpus lutijanusi
Acanthocotyle brachyuropsi	Acanthocotyle brachyuropsi
Acanthocotyle lobianchi	Acanthocotyle lobianchi
Acanthocotyle pacifica	Acanthocotyle pacifica
Acanthocotyle patagonica	Acanthocotyle patagonica
Acanthocotyle pugetensis	Allacanthocotyla pugetensis
Acanthocotyle raiae	Acanthocotyle raiae
Acanthocotyle scobini	Acanthocotyle scobini
Acanthocotyle verrillii	Pseudacanthocotyla verrilli
Acanthodiscus mirabile	Acanthodiscus mirabile
Acanthodiscus remorae	Acanthodiscus remorae
Acanthogyrus acanthogyrus	Acanthogyrus acanthogyrus
Acanthogyrus acanthuri	Acanthogyrus acanthuri
Acanthogyrus antspinis	Acanthogyrus antspinis
Acanthogyrus betwai	Acanthogyrus betwai
Acanthogyrus dattai	Acanthogyrus dattai
Acanthogyrus guptai	Acanthogyrus guptai
Acanthogyrus holospinus	Acanthogyrus holospinus
Acanthogyrus indicus	Acanthogyrus indicus
Acanthogyrus lizae	Acanthogyrus lizae
Acanthogyrus malawiensis	Acanthogyrus malawiensis
Acanthogyrus maroccanus	Acanthogyrus maroccanus
Acanthogyrus multispinus	Acanthogyrus multispinus
Acanthogyrus oligospinus	Acanthogyrus oligospinus
Acanthogyrus papilio	Acanthogyrus papilio
Acanthogyrus phillipi	Acanthogyrus phillipi
Acanthogyrus pseudoholospinus	Acanthogyrus pseudoholospinus
Acanthogyrus similis	Acanthogyrus similis
Acanthogyrus tilapiae	Acanthogyrus tilapiae
Acanthoplacatus puelli	Acanthoplacatus puelli
Acanthosentis antspinus	Acanthosentis antspinus
Acanthosentis betwai	Acanthosentis betwai
Acanthosentis coiliae	Acanthosentis coiliae
Acanthosentis dattai	Acanthosentis dattai
Acanthosentis giuris	Acanthosentis giuris
Acanthosentis golvani	Acanthosentis golvani
Acanthosentis hilsai	Acanthosentis hilsai
Acanthosentis holospinus	Acanthosentis holospinus
Acanthosentis indica	Acanthosentis indica
Acanthosentis indicus	Acanthosentis indicus
Acanthosentis multispinus	Acanthosentis multispinus
Acanthosentis oligospinus	Acanthosentis oligospinus
Acanthosentis papilio	Acanthosentis papilio
Acanthosentis phillipi	Acanthosentis phillipi
Acanthosentis putitorae	Acanthosentis putitorae
Acanthosentis scomberomori	Acanthosentis scomberomori
Acanthosentis seenghalae	Acanthosentis seenghalae
Acanthosentis siamensis	Acanthosentis siamensis
Acanthosentis similis	Acanthosentis similis
Acanthosentis sircari	Acanthosentis sircari
Acanthosentis thapari	Acanthosentis thapari
Acanthostomoides apophalliformis	Acanthostomoides apophalliformis
Acanthostomum absconditum	Acanthostomum absconditum
Acanthostomum balthicum	Acanthostomum balthicum
Acanthostomum burminis	Acanthostomum burminis
Acanthostomum gnerii	Acanthostomum gnerii
Acanthostomum gymnarchi	Acanthostomum gymnarchi
Acanthostomum imbutiformis	Acanthostomum imbutiformis
Acanthostomum inerme	Acanthostomum inerme
Acanthostomum niloticus	Acanthostomum niloticus
Acanthostomum pambanense	Acanthostomum pambanense
Acanthostomum saoudi	Acanthostomum saoudi
Acanthostomum spiniceps	Acanthostomum spiniceps
