old_pname	new_pname
Dactylogyrus difformoides	Dactylogyrus difformoides
Dactylogyrus dirigerus	Dactylogyrus dirigerus
Dactylogyrus distinguendus	Dactylogyrus distinguendus
Dactylogyrus distoechodoni	Dactylogyrus distoechodoni
Dactylogyrus doadrioi	Dactylogyrus doadrioi
Dactylogyrus dogieli	Dactylogyrus dogieli
Dactylogyrus dominici	Dactylogyrus dominici
Dactylogyrus dorsalis	Dactylogyrus dorsalis
Dactylogyrus draaensis	Dactylogyrus draaensis
Dactylogyrus drjagini	Dactylogyrus drjagini
Dactylogyrus dubii	Dactylogyrus dubii
Dactylogyrus dubius	Dactylogyrus dubius
Dactylogyrus dulkeiti	Dactylogyrus dulkeiti
Dactylogyrus duplus	Dactylogyrus duplus
Dactylogyrus dyki	Dactylogyrus dyki
Dactylogyrus editus	Dactylogyrus editus
Dactylogyrus eigenmanni	Dactylogyrus eigenmanni
Dactylogyrus elegantis	Dactylogyrus elegantis
Dactylogyrus enidae	Dactylogyrus enidae
Dactylogyrus eos	Dactylogyrus eos
Dactylogyrus ergensi	Dactylogyrus ergensi
Dactylogyrus erhardovae	Dactylogyrus erhardovae
Dactylogyrus ersinensis	Dactylogyrus ersinensis
Dactylogyrus erythroculteris	Dactylogyrus erythroculteris
Dactylogyrus erythropteris	Dactylogyrus erythropteris
Dactylogyrus eslamii	Dactylogyrus eslamii
Dactylogyrus eucalius	Dactylogyrus eucalius
Dactylogyrus euryanceps	Dactylogyrus euryanceps
Dactylogyrus exiguus	Dactylogyrus exiguus
Dactylogyrus extensus	Dactylogyrus extensus
Dactylogyrus facetus	Dactylogyrus facetus
Dactylogyrus falcatus	Dactylogyrus falcatus
Dactylogyrus falciformis	Dactylogyrus falciformis
Dactylogyrus falcilocus	Dactylogyrus falcilocus
Dactylogyrus falciunguis	Dactylogyrus falciunguis
Dactylogyrus fallax	Dactylogyrus fallax
Dactylogyrus faridpaki	Dactylogyrus faridpaki
Dactylogyrus fasciculi	Dactylogyrus fasciculi
Dactylogyrus fasciola	Dactylogyrus fasciola
Dactylogyrus fernandoi	Dactylogyrus fernandoi
Dactylogyrus fimbriphallus	Dactylogyrus fimbriphallus
Dactylogyrus finitimus	Dactylogyrus finitimus
Dactylogyrus fistuliformis	Dactylogyrus fistuliformis
Dactylogyrus flagellatus	Dactylogyrus flagellatus
Dactylogyrus flagellicirrus	Dactylogyrus flagellicirrus
Dactylogyrus flagristylus	Dactylogyrus flagristylus
Dactylogyrus flammulatus	Dactylogyrus flammulatus
Dactylogyrus flexiformis	Dactylogyrus flexiformis
Dactylogyrus floricirrus	Dactylogyrus floricirrus
Dactylogyrus foliicirrus	Dactylogyrus foliicirrus
Dactylogyrus folkmanovae	Dactylogyrus folkmanovae
Dactylogyrus forcipatus	Dactylogyrus forcipatus
Dactylogyrus formosa	Dactylogyrus formosus
Dactylogyrus formosus	Dactylogyrus formosus
Dactylogyrus fotedari	Dactylogyrus fotedari
Dactylogyrus fragilis	Dactylogyrus fragilis
Dactylogyrus fraternus	Dactylogyrus fraternus
Dactylogyrus frisii	Dactylogyrus frisii
Dactylogyrus fuhaiensis	Dactylogyrus fuhaiensis
Dactylogyrus furcatus	Dactylogyrus furcatus
Dactylogyrus fustis	Dactylogyrus fustis
Dactylogyrus garrae	Dactylogyrus garrae
Dactylogyrus georgiensis	Dactylogyrus georgiensis
Dactylogyrus gigihamatus	Dactylogyrus gigihamatus
Dactylogyrus glossogobii	Dactylogyrus glossogobii
Dactylogyrus gnathopogonis	Dactylogyrus gnathopogonis
Dactylogyrus gobii	Dactylogyrus gobii
Dactylogyrus gobiocypris	Dactylogyrus gobiocypris
Dactylogyrus gobioninum	Dactylogyrus gobioninum
Dactylogyrus goktschaicus	Dactylogyrus goktschaicus
Dactylogyrus gracilis	Dactylogyrus gracilis
Dactylogyrus grandicirrus	Dactylogyrus grandicirrus
Dactylogyrus greenei	Dactylogyrus greenei
Dactylogyrus guadianensis	Dactylogyrus guadianensis
Dactylogyrus gudaoensis	Dactylogyrus gudaoensis
Dactylogyrus guirensis	Dactylogyrus guirensis
Dactylogyrus gussevi	Dactylogyrus gussevi
Dactylogyrus gvosdevi	Dactylogyrus gvosdevi
Dactylogyrus hainanensis	Dactylogyrus hainanensis
Dactylogyrus hankinsoni	Dactylogyrus hankinsoni
Dactylogyrus haplogonoides	Dactylogyrus haplogonoides
Dactylogyrus haplogonus	Dactylogyrus haplogonus
Dactylogyrus harmandi	Dactylogyrus harmandi
Dactylogyrus helicoides	Dactylogyrus helicoides
Dactylogyrus helictocirrus	Dactylogyrus helictocirrus
Dactylogyrus hemiamphibothrium	Dactylogyrus hemiamphibothrium
Dactylogyrus hemibarbi	Dactylogyrus hemibarbi
Dactylogyrus hemipetaloideus	Dactylogyrus hemipetaloideus
Dactylogyrus hemiphysodes	Dactylogyrus hemiphysodes
Dactylogyrus heterolepis	Dactylogyrus heterolepis
Dactylogyrus hirundinis	Dactylogyrus hirundinis
Dactylogyrus hnobihamatus	Dactylogyrus hnobihamatus
Dactylogyrus holciki	Dactylogyrus holciki
Dactylogyrus huhangensis	Dactylogyrus huhangensis
Dactylogyrus hydrophloxi	Dactylogyrus hydrophloxi
Dactylogyrus hypophthalmichthys	Dactylogyrus hypophthalmichthys
Dactylogyrus idus	Dactylogyrus idus
Dactylogyrus indicus	Dactylogyrus indicus
Dactylogyrus inexpectatus	Dactylogyrus inexpectatus
Dactylogyrus insolitus	Dactylogyrus insolitus
Dactylogyrus intermedioides	Dactylogyrus intermedioides
Dactylogyrus intermedius	Dactylogyrus intermedius
Dactylogyrus inutilis	Dactylogyrus inutilis
Dactylogyrus irinae	Dactylogyrus irinae
Dactylogyrus izjumovae	Dactylogyrus izjumovae
Dactylogyrus jaei	Dactylogyrus jaei
Dactylogyrus jaini	Dactylogyrus jaini
Dactylogyrus jamansajensis	Dactylogyrus jamansajensis
Dactylogyrus jiangjingensis	Dactylogyrus jiangjingensis
Dactylogyrus jucundus	Dactylogyrus jucundus
Dactylogyrus junchisi	Dactylogyrus junchisi
Dactylogyrus juveniformis	Dactylogyrus juveniformis
Dactylogyrus kanchanaburiensis	Dactylogyrus kanchanaburiensis
Dactylogyrus katherineae	Dactylogyrus katherineae
Dactylogyrus kendalanicus	Dactylogyrus kendalanicus
Dactylogyrus kii	Dactylogyrus kii
Dactylogyrus knobihamatus	Dactylogyrus knobihamatus
Dactylogyrus kontii	Dactylogyrus kontii
Dactylogyrus kritskyi	Dactylogyrus kritskyi
Dactylogyrus ksibii	Dactylogyrus ksibii
Dactylogyrus ksibioides	Dactylogyrus ksibioides
Dactylogyrus kulwieci	Dactylogyrus kulwieci
Dactylogyrus kurenkowi	Dactylogyrus kurenkowi
Dactylogyrus labei	Dactylogyrus labei
Dactylogyrus labeous	Dactylogyrus labeous
Dactylogyrus labiatus	Dactylogyrus labiatus
Dactylogyrus lachneri	Dactylogyrus lachneri
Dactylogyrus lali	Dactylogyrus lali
Dactylogyrus lamellatus	Dactylogyrus lamellatus
Dactylogyrus lampam	Dactylogyrus lampam
Dactylogyrus larrymilleri	Dactylogyrus larrymilleri
Dactylogyrus latihamatus	Dactylogyrus latihamatus
Dactylogyrus latirictus	Dactylogyrus latirictus
Dactylogyrus latituba	Dactylogyrus latituba
Dactylogyrus laymanianus	Dactylogyrus laymanianus
Dactylogyrus leewanweii	Dactylogyrus leewanweii
Dactylogyrus legionensis	Dactylogyrus legionensis
Dactylogyrus lenkorani	Dactylogyrus lenkorani
Dactylogyrus lenkoranoides	Dactylogyrus lenkoranoides
Dactylogyrus leptobarbus	Dactylogyrus leptobarbus
Dactylogyrus leptosiphonius	Dactylogyrus leptosiphonius
Dactylogyrus leshanensis	Dactylogyrus leshanensis
Dactylogyrus leucisci	Dactylogyrus leucisci
Dactylogyrus leucisculus	Dactylogyrus leucisculus
Dactylogyrus lhasaensis	Dactylogyrus lhasaensis
Dactylogyrus lianshanensis	Dactylogyrus lianshanensis
Dactylogyrus liaohoensis	Dactylogyrus liaohoensis
Dactylogyrus limaciformis	Dactylogyrus limaciformis
Dactylogyrus lineatus	Dactylogyrus lineatus
Dactylogyrus lingualis	Dactylogyrus lingualis
Dactylogyrus linstowi	Dactylogyrus linstowi
Dactylogyrus linstowoides	Dactylogyrus linstowoides
Dactylogyrus liohaensis	Dactylogyrus liohaensis
Dactylogyrus lishuiensis	Dactylogyrus lishuiensis
Dactylogyrus lohanii	Dactylogyrus lohanii
Dactylogyrus longiacus	Dactylogyrus longiacus
Dactylogyrus longicopula	Dactylogyrus longicopula
Dactylogyrus longilamenatus	Dactylogyrus longilamenatus
Dactylogyrus longiphalloides	Dactylogyrus longiphalloides
Dactylogyrus longiphallus	Dactylogyrus longiphallus
Dactylogyrus longissimus	Dactylogyrus longissimus
Dactylogyrus longituba	Dactylogyrus longituba
Dactylogyrus longivagina	Dactylogyrus longivagina
Dactylogyrus longquaniensis	Dactylogyrus longquaniensis
Dactylogyrus longsoi	Dactylogyrus longsoi
Dactylogyrus lopuchinae	Dactylogyrus lopuchinae
Dactylogyrus luciosomis	Dactylogyrus luciosomis
Dactylogyrus luxili	Dactylogyrus luxili
Dactylogyrus mabianensis	Dactylogyrus mabianensis
Dactylogyrus macedonicus	Dactylogyrus macedonicus
Dactylogyrus macracanthus	Dactylogyrus macracanthus
Dactylogyrus macrocolpius	Dactylogyrus macrocolpius
Dactylogyrus macroformis	Dactylogyrus macroformis
Dactylogyrus maculatus	Dactylogyrus maculatus
Dactylogyrus magnibulbus	Dactylogyrus magnibulbus
Dactylogyrus magnicirrus	Dactylogyrus magnicirrus
Dactylogyrus magnicordus	Dactylogyrus magnicordus
Dactylogyrus magnificus	Dactylogyrus magnificus
Dactylogyrus magnihamatus	Dactylogyrus magnihamatus
Dactylogyrus maillardi	Dactylogyrus maillardi
Dactylogyrus malayanus	Dactylogyrus malayanus
Dactylogyrus malewitzkajae	Dactylogyrus malewitzkajae
Dactylogyrus malleus	Dactylogyrus malleus
Dactylogyrus mantschuricus	Dactylogyrus mantschuricus
Dactylogyrus marekewitschi	Dactylogyrus marekewitschi
Dactylogyrus markewitschi	Dactylogyrus markewitschi
Dactylogyrus marocanus	Dactylogyrus marocanus
Dactylogyrus mascomai	Dactylogyrus mascomai
Dactylogyrus mawli	Dactylogyrus mawli
Dactylogyrus megatuba	Dactylogyrus megatuba
Dactylogyrus melanopteri	Dactylogyrus melanopteri
Dactylogyrus mendehei	Dactylogyrus mendehei
Dactylogyrus meridionalis	Dactylogyrus meridionalis
Dactylogyrus merus	Dactylogyrus merus
Dactylogyrus micracanthus	Dactylogyrus micracanthus
Dactylogyrus microcirrus	Dactylogyrus microcirrus
Dactylogyrus microlepidotus	Dactylogyrus microlepidotus
Dactylogyrus microphallus	Dactylogyrus microphallus
Dactylogyrus micropogoni	Dactylogyrus micropogoni
Dactylogyrus microtheloides	Dactylogyrus microtheloides
Dactylogyrus mikailovi	Dactylogyrus mikailovi
Dactylogyrus minjiangensis	Dactylogyrus minjiangensis
Dactylogyrus minor	Dactylogyrus minor
Dactylogyrus minutus	Dactylogyrus minutus
Dactylogyrus mizellei	Dactylogyrus mizellei
Dactylogyrus molitorelli	Dactylogyrus molitorelli
Dactylogyrus mollis	Dactylogyrus mollis
Dactylogyrus molnari	Dactylogyrus molnari
Dactylogyrus mongolicus	Dactylogyrus mongolicus
Dactylogyrus montschadskyi	Dactylogyrus montschadskyi
Dactylogyrus moorthyi	Dactylogyrus moorthyi
Dactylogyrus mrazeki	Dactylogyrus mrazeki
Dactylogyrus mrigali	Dactylogyrus mrigali
Dactylogyrus muscariformis	Dactylogyrus muscariformis
Dactylogyrus myersi	Dactylogyrus myersi
Dactylogyrus nanocirrus	Dactylogyrus nanocirrus
Dactylogyrus nanoides	Dactylogyrus nanoides
Dactylogyrus nanus	Dactylogyrus nanus
Dactylogyrus nasali	Dactylogyrus nasali
Dactylogyrus nasalis	Dactylogyrus nasalis
Dactylogyrus navicularis	Dactylogyrus navicularis
Dactylogyrus naviculoides	Dactylogyrus naviculoides
Dactylogyrus neoparvus	Dactylogyrus neoparvus
Dactylogyrus newensis	Dactylogyrus newensis
Dactylogyrus niedashui	Dactylogyrus niedashui
Dactylogyrus nikolsyi	Dactylogyrus nikolsyi
Dactylogyrus nobilis	Dactylogyrus nobilis
Dactylogyrus nuchalis	Dactylogyrus nuchalis
Dactylogyrus nybelini	Dactylogyrus nybelini
Dactylogyrus nyongensis	Dactylogyrus nyongensis
Dactylogyrus oblongus	Dactylogyrus oblongus
Dactylogyrus obscurus	Dactylogyrus obscurus
Dactylogyrus omega	Dactylogyrus omega
Dactylogyrus omeiensis	Dactylogyrus omeiensis
Dactylogyrus onychoaccessorius	Dactylogyrus onychoaccessorius
Dactylogyrus onychoacessorius	Dactylogyrus onychoaccessorius
Dactylogyrus onychocirrus	Dactylogyrus onychocirrus
Dactylogyrus oodeus	Dactylogyrus oodeus
Dactylogyrus opsopoeodi	Dactylogyrus opsopoeodi
Dactylogyrus orbus	Dactylogyrus orbus
Dactylogyrus orientalis	Dactylogyrus orientalis
Dactylogyrus ornatus	Dactylogyrus ornatus
Dactylogyrus ornithopodus	Dactylogyrus ornithopodus
Dactylogyrus ornithorrhynchus	Dactylogyrus ornithorrhynchus
Dactylogyrus orphoidis	Dactylogyrus orphoidis
Dactylogyrus orthodon	Dactylogyrus orthodon
Dactylogyrus osteochili	Dactylogyrus osteochili
Dactylogyrus oumiensis	Dactylogyrus oumiensis
Dactylogyrus pahangensis	Dactylogyrus pahangensis
Dactylogyrus pakistanensis	Dactylogyrus pakistanensis
Dactylogyrus palliatus	Dactylogyrus palliatus
Dactylogyrus panchinpeii	Dactylogyrus panchinpeii
Dactylogyrus pannonus	Dactylogyrus pannonus
Dactylogyrus papernai	Dactylogyrus papernai
Dactylogyrus parabramis	Dactylogyrus parabramis
Dactylogyrus paracanthobrama	Dactylogyrus paracanthobrama
Dactylogyrus paradinosaurinus	Dactylogyrus paradinosaurinus
Dactylogyrus paradoxus	Dactylogyrus paradoxus
Dactylogyrus parapterocleidus	Dactylogyrus parapterocleidus
Dactylogyrus parawaldronii	Dactylogyrus parawaldronii
Dactylogyrus paribulbus	Dactylogyrus paribulbus
Dactylogyrus partipentazonae	Dactylogyrus partipentazonae
Dactylogyrus parvianchoris	Dactylogyrus parvianchoris
Dactylogyrus parvicirrus	Dactylogyrus parvicirrus
Dactylogyrus parviphallus	Dactylogyrus parviphallus
Dactylogyrus parvus	Dactylogyrus parvus
Dactylogyrus pavlovskyi	Dactylogyrus pavlovskyi
Dactylogyrus pectenatus	Dactylogyrus pectenatus
Dactylogyrus peculiaris	Dactylogyrus peculiaris
Dactylogyrus pekinensis	Dactylogyrus pekinensis
Dactylogyrus pellucidus	Dactylogyrus pellucidus
Dactylogyrus peltatus	Dactylogyrus peltatus
Dactylogyrus pentabrachiatus	Dactylogyrus pentabrachiatus
Dactylogyrus pentabrachicleithrum	Dactylogyrus pentabrachicleithrum
Dactylogyrus perakensis	Dactylogyrus perakensis
Dactylogyrus percobromus	Dactylogyrus percobromus
Dactylogyrus percocypris	Dactylogyrus percocypris
Dactylogyrus petaloideus	Dactylogyrus petaloideus
Dactylogyrus petitjeanii	Dactylogyrus petitjeanii
Dactylogyrus petruscheweskyi	Dactylogyrus petruscheweskyi
Dactylogyrus pharyngocephalus	Dactylogyrus pharyngocephalus
Dactylogyrus phoxini	Dactylogyrus phoxini
Dactylogyrus phymatochilus	Dactylogyrus phymatochilus
Dactylogyrus pienaari	Dactylogyrus pienaari
Dactylogyrus pingleensis	Dactylogyrus pingleensis
Dactylogyrus placentiformis	Dactylogyrus placentiformis
Dactylogyrus plegadus	Dactylogyrus plegadus
Dactylogyrus pleioschizopetatus	Dactylogyrus pleioschizopetatus
Dactylogyrus pollex	Dactylogyrus pollex
Dactylogyrus prespensis	Dactylogyrus prespensis
Dactylogyrus primarius	Dactylogyrus primarius
Dactylogyrus pronatus	Dactylogyrus pronatus
Dactylogyrus propinquus	Dactylogyrus propinquus
Dactylogyrus proprius	Dactylogyrus proprius
Dactylogyrus prostae	Dactylogyrus prostae
Dactylogyrus pseudanchoratus	Dactylogyrus pseudanchoratus
Dactylogyrus pseudaspii	Dactylogyrus pseudaspii
Dactylogyrus pseudoflagillicirrus	Dactylogyrus pseudoflagillicirrus
Dactylogyrus pseudogobii	Dactylogyrus pseudogobii
Dactylogyrus pseudohemiculteri	Dactylogyrus pseudohemiculteri
Dactylogyrus pseudominor	Dactylogyrus pseudominor
Dactylogyrus pseudosphyrna	Dactylogyrus pseudosphyrna
Dactylogyrus pterocleidus	Dactylogyrus pterocleidus
Dactylogyrus pterygialis	Dactylogyrus pterygialis
Dactylogyrus ptychocheilus	Dactylogyrus ptychocheilus
Dactylogyrus pulcher	Dactylogyrus pulcher
Dactylogyrus puntii	Dactylogyrus puntii
Dactylogyrus pusillus	Dactylogyrus pusillus
Dactylogyrus quadricurvitubus	Dactylogyrus quadricurvitubus
Dactylogyrus quangfami	Dactylogyrus quangfami
Dactylogyrus ramosus	Dactylogyrus ramosus
Dactylogyrus ramulosus	Dactylogyrus ramulosus
Dactylogyrus rarissimus	Dactylogyrus rarissimus
Dactylogyrus rarus	Dactylogyrus rarus
Dactylogyrus rastellus	Dactylogyrus rastellus
Dactylogyrus reciprocus	Dactylogyrus reciprocus
Dactylogyrus rectotrabus	Dactylogyrus rectotrabus
Dactylogyrus rhadicirrus	Dactylogyrus rhadicirrus
Dactylogyrus rhinichthius	Dactylogyrus rhinichthius
Dactylogyrus rhinogobii	Dactylogyrus rhinogobii
Dactylogyrus rhodeusi	Dactylogyrus rhodeusi
Dactylogyrus richardsonius	Dactylogyrus richardsonius
Dactylogyrus rimskykorsakowi	Dactylogyrus rimskykorsakowi
Dactylogyrus ritius	Dactylogyrus ritius
Dactylogyrus robustus	Dactylogyrus robustus
Dactylogyrus rohdeianus	Dactylogyrus rohdeianus
Dactylogyrus rongjianensis	Dactylogyrus rongjianensis
Dactylogyrus rostellum	Dactylogyrus rostellum
Dactylogyrus rostrum	Dactylogyrus rostrum
Dactylogyrus ruahae	Dactylogyrus ruahae
Dactylogyrus rubellus	Dactylogyrus rubellus
Dactylogyrus rufjii	Dactylogyrus rufjii
Dactylogyrus rutili	Dactylogyrus rutili
Dactylogyrus sacrati	Dactylogyrus sacrati
Dactylogyrus sagittavaginalis	Dactylogyrus sagittavaginalis
Dactylogyrus sagmaformis	Dactylogyrus sagmaformis
Dactylogyrus sahelensis	Dactylogyrus sahelensis
Dactylogyrus sahuensis	Dactylogyrus sahuensis
Dactylogyrus saranae	Dactylogyrus saranae
Dactylogyrus sarani	Dactylogyrus sarani
Dactylogyrus sarcocheilichthydis	Dactylogyrus sarcocheilichthydis
Dactylogyrus saurogobii	Dactylogyrus saurogobii
Dactylogyrus scalpelliformis	Dactylogyrus scalpelliformis
Dactylogyrus scepticus	Dactylogyrus scepticus
Dactylogyrus schizocypris	Dactylogyrus schizocypris
Dactylogyrus schizopygopsis	Dactylogyrus schizopygopsis
Dactylogyrus schizothoraxi	Dactylogyrus schizothoraxi
Dactylogyrus scutatus	Dactylogyrus scutatus
Dactylogyrus seamsteri	Dactylogyrus seamsteri
Dactylogyrus securiformis	Dactylogyrus securiformis
Dactylogyrus seenghali	Dactylogyrus seenghali
Dactylogyrus sekulovici	Dactylogyrus sekulovici
Dactylogyrus sematus	Dactylogyrus sematus
Dactylogyrus semifasciolatae	Dactylogyrus semifasciolatae
Dactylogyrus semilabeo	Dactylogyrus semilabeo
Dactylogyrus semotilus	Dactylogyrus semotilus
Dactylogyrus senegalensis	Dactylogyrus senegalensis
Dactylogyrus shantungensis	Dactylogyrus shantungensis
Dactylogyrus shengxianensis	Dactylogyrus shengxianensis
Dactylogyrus siamensis	Dactylogyrus siamensis
Dactylogyrus sichuansis	Dactylogyrus sichuansis
Dactylogyrus simiae	Dactylogyrus simiae
Dactylogyrus similis	Dactylogyrus similis
Dactylogyrus simplex	Dactylogyrus simplex
Dactylogyrus simplicimalleata	Dactylogyrus simplicimalleata
Dactylogyrus sinibramis	Dactylogyrus sinibramis
Dactylogyrus sinilabe	Dactylogyrus sinilabe
Dactylogyrus skrjabinensis	Dactylogyrus skrjabinensis
Dactylogyrus skrjabini	Dactylogyrus skrjabini
Dactylogyrus slastnikowi	Dactylogyrus slastnikowi
Dactylogyrus solidus	Dactylogyrus solidus
Dactylogyrus sparsus	Dactylogyrus sparsus
Dactylogyrus sparus	Dactylogyrus sparus
Dactylogyrus spatulus	Dactylogyrus spatulus
Dactylogyrus speciosus	Dactylogyrus speciosus
Dactylogyrus sphyrna	Dactylogyrus sphyrna
Dactylogyrus sphyrnoides	Dactylogyrus sphyrnoides
Dactylogyrus spinibarbichthi	Dactylogyrus spinibarbichthi
Dactylogyrus spinicirrus	Dactylogyrus spinicirrus
Dactylogyrus spiralis	Dactylogyrus spiralis
Dactylogyrus spirocirrus	Dactylogyrus spirocirrus
Dactylogyrus spirotubivagina	Dactylogyrus spirotubivagina
Dactylogyrus spirovagina	Dactylogyrus spirovagina
Dactylogyrus spriovagina	Dactylogyrus spriovagina
Dactylogyrus sprostonae	Dactylogyrus sprostonae
Dactylogyrus squaliobarbi	Dactylogyrus squaliobarbi
Dactylogyrus squameus	Dactylogyrus squameus
Dactylogyrus strelkowi	Dactylogyrus strelkowi
Dactylogyrus strombus	Dactylogyrus strombus
Dactylogyrus subtilis	Dactylogyrus subtilis
Dactylogyrus suchengtaii	Dactylogyrus suchengtaii
Dactylogyrus suecicus	Dactylogyrus suecicus
Dactylogyrus sungariensis	Dactylogyrus sungariensis
Dactylogyrus taihuensis	Dactylogyrus taihuensis
Dactylogyrus tapienensis	Dactylogyrus tapienensis
Dactylogyrus tchangi	Dactylogyrus tchangi
Dactylogyrus tenax	Dactylogyrus tenax
Dactylogyrus tendiculus	Dactylogyrus tendiculus
Dactylogyrus teresae	Dactylogyrus teresae
Dactylogyrus tihsiukangi	Dactylogyrus tihsiukangi
Dactylogyrus tincae	Dactylogyrus tincae
Dactylogyrus tissensis	Dactylogyrus tissensis
Dactylogyrus tongtinensis	Dactylogyrus tongtinensis
Dactylogyrus tonguthaii	Dactylogyrus tonguthaii
Dactylogyrus torquegenetalis	Dactylogyrus torquegenetalis
Dactylogyrus triappendixis	Dactylogyrus triappendixis
Dactylogyrus tridactylus	Dactylogyrus tridactylus
Dactylogyrus tridigitatus	Dactylogyrus tridigitatus
Dactylogyrus trioxonis	Dactylogyrus trioxonis
Dactylogyrus trullaeformis	Dactylogyrus trullaeformis
Dactylogyrus tuba	Dactylogyrus tuba
Dactylogyrus tubarius	Dactylogyrus tubarius
Dactylogyrus tubatus	Dactylogyrus tubatus
Dactylogyrus tubulus	Dactylogyrus tubulus
Dactylogyrus tunisiensis	Dactylogyrus tunisiensis
Dactylogyrus turaliensis	Dactylogyrus turaliensis
Dactylogyrus turkestanikus	Dactylogyrus turkestanikus
Dactylogyrus unguiformis	Dactylogyrus unguiformis
Dactylogyrus ungulatus	Dactylogyrus ungulatus
Dactylogyrus urus	Dactylogyrus urus
Dactylogyrus uyeni	Dactylogyrus uyeni
Dactylogyrus vaginulatus	Dactylogyrus vaginulatus
Dactylogyrus vancleavei	Dactylogyrus vancleavei
Dactylogyrus varicorhini	Dactylogyrus varicorhini
Dactylogyrus varicorhinoides	Dactylogyrus varicorhinoides
Dactylogyrus vastator	Dactylogyrus vastator
Dactylogyrus vicinus	Dactylogyrus vicinus
Dactylogyrus vistulae	Dactylogyrus vistulae
Dactylogyrus viticulus	Dactylogyrus viticulus
Dactylogyrus vranoviensis	Dactylogyrus vranoviensis
Dactylogyrus wegeneri	Dactylogyrus wegeneri
Dactylogyrus weishanensis	Dactylogyrus weishanensis
Dactylogyrus whuensis	Dactylogyrus whuensis
Dactylogyrus wuae	Dactylogyrus wuae
Dactylogyrus wuhanensis	Dactylogyrus wuhanensis
Dactylogyrus wuhuensis	Dactylogyrus wuhuensis
Dactylogyrus wunderi	Dactylogyrus wunderi
Dactylogyrus wurtzii	Dactylogyrus wurtzii
Dactylogyrus xenocypris	Dactylogyrus xenocypris
Dactylogyrus xinjiangensis	Dactylogyrus xinjiangensis
Dactylogyrus xiyangjianensis	Dactylogyrus xiyangjianensis
Dactylogyrus yinjiangensis	Dactylogyrus yinjiangensis
Dactylogyrus yinwenyingae	Dactylogyrus yinwenyingae
Dactylogyrus yogendrai	Dactylogyrus yogendrai
Dactylogyrus youjiangensis	Dactylogyrus youjiangensis
Dactylogyrus yuyaoensis	Dactylogyrus yuyaoensis
Dactylogyrus zaccoi	Dactylogyrus zaccoi
Dactylogyrus zachvatkini	Dactylogyrus zachvatkini
Dactylogyrus zalesskyi	Dactylogyrus zalesskyi
Dactylogyrus zandti	Dactylogyrus zandti
Dactylogyrus zoanygi	Dactylogyrus zoanygi
Dactylogyrus zulfikari	Dactylogyrus zulfikari
Dactylostomum cribbi	Dactylostomum cribbi
Dactylostomum gayaprashadi	Dactylostomum gayaprashadi
Dactylostomum gracile	Dactylostomum gracile
Dadayius pacuensis	Dadayius pacuensis
Dadaytrema gracilis	Dadaytrema gracilis
Dadaytrema oxycephalum	Dadaytrema oxycephalum
Dadaytremoides parauchenipteri	Dadaytremoides parauchenipteri
Daitreosoma parva	Daitreosoma parva
Daniconema anguillae	Daniconema anguillae
Dasybatotrema dasyatis	Dasybatotrema dasyatis
Dasybatotrema dasybatis	Dasybatotrema dasyatis
Dasybatotrema rajae	Dasybatotrema rajae
Dasybatotrema spinosum	Dasybatotrema spinosum
Dasyrhynchus giganteus	Dasyrhynchus giganteus
Dasyrhynchus indicus	Dasyrhynchus indicus
Dasyrhynchus magnus	Dasyrhynchus magnus
Dasyrhynchus pacificus	Dasyrhynchus pacificus
Dasyrhynchus pillersi	Dasyrhynchus pillersi
Dasyrhynchus talismani	Dasyrhynchus talismani
Dasyrhynchus thomasi	Dasyrhynchus thomasi
Dasyrhynchus varioucinatus	Dasyrhynchus varioucinatus
Dawesia incisa	Dawesia incisa
Deanicola minor	Deanicola minor
Deanicola protentus	Deanicola protentus
Decacotyle lymmae	Decacotyle lymmae
Decacotyle tetrakordyle	Decacotyle tetrakordyle
Decemtestis azumae	Decemtestis azumae
Decemtestis biacetabulatus	Decemtestis biacetabulatus
Decemtestis cynoglossi	Decemtestis cynoglossi
Decemtestis dollfusi	Decemtestis dollfusi
Decemtestis fusiformis	Decemtestis fusiformis
Decemtestis kobayashii	Decemtestis kobayashii
Decemtestis lutiani	Decemtestis lutiani
Decemtestis mehrai	Decemtestis mehrai
Decemtestis mystusi	Decemtestis mystusi
Decemtestis varmai	Decemtestis varmai
Degeneria halosauri	Degeneria halosauri
Deltamphistoma pitingaense	Deltamphistoma pitingaense
Demidospermus anus	Demidospermus anus
Demidospermus armostus	Demidospermus armostus
Demidospermus bidiverticulatum	Demidospermus bidiverticulatum
Demidospermus centromochli	Demidospermus centromochli
Demidospermus ichthyocerca	Demidospermus ichthyocerca
Demidospermus idolus	Demidospermus idolus
Demidospermus labrosi	Demidospermus labrosi
Demidospermus luckyi	Demidospermus luckyi
Demidospermus macropteri	Demidospermus macropteri
Demidospermus majusculus	Demidospermus majusculus
Demidospermus mandi	Demidospermus mandi
Demidospermus paravalenciennesi	Demidospermus paravalenciennesi
Demidospermus pinirampi	Demidospermus pinirampi
Demidospermus uncusvalidus	Demidospermus uncusvalidus
Demidospermus valenciennesi	Demidospermus valenciennesi
Dendromonocotyle akajeii	Dendromonocotyle akajeii
Dendromonocotyle ardea	Dendromonocotyle ardea
Dendromonocotyle bradsmithi	Dendromonocotyle bradsmithi
Dendromonocotyle californica	Dendromonocotyle californica
Dendromonocotyle centrourae	Dendromonocotyle centrourae
